Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/31,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/1,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/2,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/3,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/4,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/5,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/6,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/7,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/8,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/9,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/10,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/11,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/12,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/13,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/14,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/15,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/16,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/17,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/18,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/19,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/20,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/21,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/22,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/23,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/24,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/25,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/26,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/27,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/2/28,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/3/1,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/3/2,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/3/3,0.15
