Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/3,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/4,0.05
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/5,0.02
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/8,0.02
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/9,0.05
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/10,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/11,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/12,0.05
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/15,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/16,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/17,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/18,0.03
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/19,0.02
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/22,0.03
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/23,0.01
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/24,0.02
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/25,0.03
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/26,0.01
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/3/1,0.02
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/3/2,0.04
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/3/3,0.04
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/3/4,0.02
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/3/5,0.02
